id,attribut,valeur,ref,impactprix,impactpoids,qtt,ean
1,"Taille:select:1, Couleur:select:2","MM 20.0           (x384):1,CRYSTAL   CVZSI                           :2",1067320,245,0.382,9007810673203,10
1,"Taille:select:1, Couleur:select:2","MM 30.0       (x226):1,CRYSTAL   CVZSI                           :2",1067349,87,0.67,9007810673494,10
1,"Taille:select:1, Couleur:select:2","MM 40.0      (x333):1,CRYSTAL   CVZSI                           :2",1067350,194,2.76,9007810673500,10
1,"Taille:select:1, Couleur:select:2","MM 50.0  (x196):1,CRYSTAL   CVZSI                           :2",1067351,57,0.658,9007810673517,10
1,"Taille:select:1, Couleur:select:2","MM 60.0                (x139):1,CRYSTAL   CVZSI                           :2",1067352,0,0,9007810673524,10
2,"Taille:select:1, Couleur:select:2","MM 30.0                (x226):1,CRYSTAL   CVZSI                           :2",1067329,30,0,9007810673296,10
2,"Taille:select:1, Couleur:select:2","MM 40.0                (x333):1,CRYSTAL   CVZSI                           :2",1067337,137,1.914,9007810673371,10
2,"Taille:select:1, Couleur:select:2","MM 50.0                (x196):1,CRYSTAL   CVZSI                           :2",1067353,0,0.45,9007810673531,10
3,"Taille:select:1, Couleur:select:2","MM 20.0                (x1220):1,CRYSTAL   :2",1067326,993,1.195,9007810673265,10
3,"Taille:select:1, Couleur:select:2","MM 14.0                (x1300):1,CRYSTAL   CASI   :2",1067321,1073,0.455,9007810673210,10
3,"Taille:select:1, Couleur:select:2","MM 20.0                (x1170):1,CRYSTAL   CASI :2",1067324,943,1.171,9007810673241,10
3,"Taille:select:1, Couleur:select:2","MM 30.0       (x938):1,CRYSTAL  CALSI:2",1067330,711,1.833,9007810673302,10
3,"Taille:select:1, Couleur:select:2","MM 14.0                (x1300):1,CRYSTAL  CALVSI:2",1067322,1073,0,9007810673227,10
3,"Taille:select:1, Couleur:select:2","MM 20.0                (x1170):1,CRYSTAL  CALVSI:2",1067325,943,1.17,9007810673258,10
3,"Taille:select:1, Couleur:select:2","MM 30.0                (x938):1,CRYSTAL   CAVSI  :2",1067331,711,1.834,9007810673319,10
3,"Taille:select:1, Couleur:select:2","MM 40.0                (x506):1,CRYSTAL   CAVSI  :2",1067338,279,2.414,9007810673388,10
3,"Taille:select:1, Couleur:select:2","MM 50.0                (x227):1,CRYSTAL   CAVSI  :2",1067354,0,1.42,9007810673548,10
4,"Taille:select:1, Couleur:select:2","MM 50.0                (x227):1,CRYSTAL   CAVSI  :2",1067356,0,0,9007810673562,10
5,"Taille:select:1, Couleur:select:2","MM 34.0                (x985):1,CRYSTAL   :2",1068463,0,0,9007810684636,10
5,"Taille:select:1, Couleur:select:2","MM 34.0                (x113):1,CRYSTAL   :2",1068464,14.5,0,,10
5,"Taille:select:1, Couleur:select:2","MM 34.0                (x985):1,CRYSTAL   :2",1068465,0,0,,10
6,"Taille:select:1, Couleur:select:2","MM 62.0                (x202):1,CRYSTAL   :2",1072845,26,0,9007810728453,10
6,"Taille:select:1, Couleur:select:2","MM 62.0                (x176):1,CRYSTAL   :2",1072844,0,0,9007810728446,10
6,"Taille:select:1, Couleur:select:2","MM 62.0                (x176):1,CRYSTAL   :2",1072846,0,0,,10
7,"Taille:select:1, Couleur:select:2","MM 25.0                (x103):1,CRYSTAL   :2",5200735,0,0,9009652007352,10
7,"Taille:select:1, Couleur:select:2","MM 25.0                (x103):1,CRYSTAL   :2",5200737,0,0,9009652007376,10
7,"Taille:select:1, Couleur:select:2","MM 25.0                (x118):1,CRYSTAL   :2",5200733,15,0,9009652007338,10
7,"Taille:select:1, Couleur:select:2","MM 50.0                (x162):1,CRYSTAL   :2",5200739,59,1.78,9009652007390,10
7,"Taille:select:1, Couleur:select:2","MM 50.0                (x162):1,CRYSTAL   :2",5200740,59,1.78,9009652007406,10
7,"Taille:select:1, Couleur:select:2","MM 50.0                (x186):1,CRYSTAL   :2",5200738,83,1.78,9009652007383,10
8,"Taille:select:1, Couleur:select:2","MM 34.0                (x123):1,CRYSTAL   MD305  :2",5292448,15,0,9009652924482,10
8,"Taille:select:1, Couleur:select:2","MM 34.0                (x108):1,CRYSTAL   MD302  :2",5292436,0,0,9009652924369,10
8,"Taille:select:1, Couleur:select:2","MM 34.0                (x108):1,CRYSTAL   MD304  :2",5292440,0,0,9009652924406,10
8,"Taille:select:1, Couleur:select:2","MM 34.0                (x108):1,CRYSTAL   MD303 :2",5292437,0,0,9009652924376,10
8,"Taille:select:1, Couleur:select:2","MM 34.0                (x113):1,CRYSTAL   AB:2",5236339,5,0,9009652363397,10
8,"Taille:select:1, Couleur:select:2","MM 62.0                (x203):1,CRYSTAL  AB     :2",5236342,95,2.42,9009652363427,10
8,"Taille:select:1, Couleur:select:2","MM 34.0                (x128):1,CRYSTAL   GOLDEN SHADOW         :2",5202594,20,0,9009652025943,10
8,"Taille:select:1, Couleur:select:2","MM 62.0                (x229):1,CRYSTAL  GOLDEN SHADOW       :2",5202600,121,2.42,9009652026001,10
