id,name,description,prix,poids
1,8044,"Bobeche / 4-hole",281,0.02088
2,8048,"Bobeche / 5-hole",206,0.008502
3,8060,"Center Part",160,0.02772
4,8061,"Center Part",126,0.0448
5,8063,"Center Part",163,0.008572
6,8065,"Center Part",450,0.13248
7,8114,"Octagon Lily / No hole",149,0.002206
8,8115,"Octagon Lily / 1-hole",75.1,0.00255
9,8116,"Octagon Lily / 2-hole",75.1,0.00255
10,8117,"Octagon Lily / 3-hole",303,0.00255
11,8118,"Octagon Lily / 4-hole",303,0.00255
12,8124,"Square Stone / 4-hole",75.4,0.0447
13,8124/G,"/G Square Stone / 4-hole",212,0.7132
14,8125,"Square Stone",131,0.2433
15,8125/G,"/G Square Stone",173,0.36477
16,8126,"Square Stone / 2-hole",131,0.2484
17,8126/G,"/G Square Stone / 2-hole",173,0.3612
18,8269,"Drop Combination",128,0.03396
19,8305,"Prism / 1-hole",494,0.3591
20,8321,"Prism / 1-hole",442,0.3206
21,8322,"Prism / 2-hole",442,0.3388
22,8450,"Coffin Stone / 2-hole",155,0.102
23,8451,"Coffin Stone / 1-hole",304,0.46314
24,8470,Bobeche,281,0.0456
25,8502,Bead,233,0.002355
26,8505,Bead,476,0.005268
27,8543,"Long hole Bead",604,0.00238
28,8546,"Dice Bead",150,0.3381
29,8547,"Vibrant Bead",284,0.320688
30,8548,Cube,138,0.76328
31,8558,"Ball 224 Facets (20 mm - 168 Facets)",19.8,0.00178
32,8558/G,"/G Ball 224 Facets (20 mm - 168 Facets)",199,0.1152
33,8560,"Cone Stone",162,0.073584
34,8601,Drop,123,0.294
35,8611,Drop,212,0.002412
36,8621,Drop,218,0.2619
37,8641,Drop,373,1.3746
38,8671,"Hexagonal Prism",227,0.06912
39,8721,"Pear Shape",87,0.002906
40,8731,"Pear Shape",186,0.0876
41,8741,"Pear Shape",121,0.0204
42,8745,"Oval Pear Shape / 1-hole",237,0.2448
43,8746,"Oval Pear Shape / 2-hole",237,0.26919
44,8755,"Kite Pear Shape",420,0.36477
45,8755/G,"/G Kite Pear Shape",485,0.36477
46,8806,"New Leaf",174,0.125376
47,8833,"Triangle /3-hole",259,0.22925
48,8901,Pendeloque,85,0.00688
49,8904,Pendeloque,169,0.032418
50,8908,"Arabesque Pendeloque",89,0.012972
51,8930,Pendeloque,159,0.002712
52,8950,"Bird Wing",63,0.003168
53,8950/G,"/G Sun/1-hole",332,0.3237
54,8951,"Glaciarium Prism Frame/ 2-hole By F&S",47.8,0.00506
55,8983,"Moravian Star",44.7,0
56,8984,Finial,234,0.0189
