id,attribut,valeur,ref,impactprix,impactpoids,
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Light Topaz:0,Standard:1",274041,295.9,0.0065
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Medium Sapphire:0,Standard:1",274042,295.9,0.00629
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Rosaline:0,Standard:1",274043,295.9,0.00629
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Silk:0,Standard:1",5014575,295.9,0.00191
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Topaz:0,Standard:1",627127,295.9,0.00015
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Violet:0,Standard:1",695138,295.9,0.00712
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"16 (x1):1,Crystal:0,Standard:1",265830,227.9,0
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"18 (x600):1,Crystal:0,Standard:1",265837,156.9,13.0545
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x420):1,Crystal:0,Standard:1",265840,133.9,9.2985
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"22 (x350):1,Crystal:0,Standard:1",265844,152.9,8.1645
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"24 (x300):1,Crystal:0,Standard:1",265845,180.9,7.8945
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"26 (x240):1,Crystal:0,Standard:1",265938,169.9,6.1665
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28 (x150):1,Crystal:0,Standard:1",265939,103.9,3.3645
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x125):1,Crystal:0,Standard:1",265940,103.9,2.95825
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"32 (x125):1,Crystal:0,Standard:1",265773,143.9,3.5245
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"34 (x100):1,Crystal:0,Standard:1",265942,133.9,2.6845
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"36 (x80):1,Crystal:0,Standard:1",265943,124.9,1.9585
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"38 (x80):1,Crystal:0,Standard:1",265945,168.9,2.2785
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x56):1,Crystal:0,Standard:1",265946,126.9,1.2961
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"50 (x20):1,Crystal:0,Standard:1",265947,0,0.3345
9,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"60 (x20):1,Crystal:0,Standard:1",265941,56.9,0.5195
10,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x1.8):1,Crystal:0,Standard:1",265989,3,0.00568
10,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"16 (x1):1,Crystal:0,Standard:1",265991,0,0
11,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"16 (x1):1,Crystal:0,Standard:1",266000,0,0
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"14 (x800):1,Crystal:0,Standard:1",5191369,158.6,16.225
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"16 (x540):1,Crystal:0,Standard:1",5191371,120.6,9.489
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"18 (x400):1,Crystal:0,Standard:1",5191373,106.6,6.685
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20 (x280):1,Crystal:0,Standard:1",5191375,82.6,5.083
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"22 (x210):1,Crystal:0,Standard:1",5191378,72.6,3.165
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"24 (x150):1,Crystal:0,Standard:1",5191380,55.6,2.0265
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28 (x96):1,Crystal:0,Standard:1",5191383,58.6,1.08996
12,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"32 (x96):1,Crystal:0,Standard:1",5191386,102.6,1.91076
