id,name,description,prix,poids
2,"Prices 2017",,-20,0
3,Article,Description,-20,0
4,8044,"Bobeche / 4-hole",281,12
5,8048,"Bobeche / 5-hole",206,6
6,8060,"Center Part",160,24
7,8061,"Center Part",126,40
8,8063,"Center Part",163,8
9,8065,"Center Part",450,108
10,8114,"Octagon Lily / No hole",149,2
11,8115,"Octagon Lily / 1-hole",75.1,40
12,8116,"Octagon Lily / 2-hole",75.1,40
13,8117,"Octagon Lily / 3-hole",303,306
14,8118,"Octagon Lily / 4-hole",303,2000
15,8124,"Square Stone / 4-hole",75.4,30
16,8124/G,"/G Square Stone / 4-hole",212,400
17,8125,"Square Stone",131,148
18,8125/G,"/G Square Stone",173,210
19,8126,"Square Stone / 2-hole",131,148
20,8126/G,"/G Square Stone / 2-hole",173,210
21,8269,"Drop Combination",128,24
22,8305,"Prism / 1-hole",494,315
23,8321,"Prism / 1-hole",442,300
24,8322,"Prism / 2-hole",442,300
25,8450,"Coffin Stone / 2-hole",155,120
26,8451,"Coffin Stone / 1-hole",304,360
27,8470,Bobeche,281,36
28,8502,Bead,233,288
29,8505,Bead,476,3696
30,8543,"Long hole Bead",604,2160
31,8546,"Dice Bead",150,198
32,8547,"Vibrant Bead",284,288
33,8548,Cube,138,138
34,8558,"Ball 224 Facets (20 mm - 168 Facets)",19.8,1
35,8558/G,"/G Ball 224 Facets (20 mm - 168 Facets)",199,160
36,8560,"Cone Stone",162,56
37,8601,Drop,123,150
38,8611,Drop,212,48
39,8621,Drop,218,180
40,8641,Drop,373,1200
41,8671,"Hexagonal Prism",227,48
42,8721,"Pear Shape",87,2
43,8731,"Pear Shape",186,60
44,8741,"Pear Shape",121,20
45,8745,"Oval Pear Shape / 1-hole",237,180
46,8746,"Oval Pear Shape / 2-hole",237,180
47,8755,"Kite Pear Shape",420,252
48,8755/G,"/G Kite Pear Shape",485,252
49,8806,"New Leaf",174,96
50,8833,"Triangle /3-hole",259,175
51,8901,Pendeloque,85,4
52,8904,Pendeloque,169,18
53,8908,"Arabesque Pendeloque",89,12
54,8930,Pendeloque,159,2
55,8950,"Bird Wing",63,48
56,8950/G,"/G Sun/1-hole",332,300
57,8951,"Glaciarium Prism Frame/ 2-hole By F&S",47.8,36
58,8983,"Moravian Star",44.7,44.7
59,8984,Finial,234,12
