,,,,,,,,,,,
8116,Octagon Lily / 2-hole,,14,Antique Green,,274039,391.00,EUR,"1,8","3,179","2,732"
8116,Octagon Lily / 2-hole,,14,Blue Violet,,627121,391.00,EUR,"1,8","3,326","2,88"
8116,Octagon Lily / 2-hole,,14,Bordeaux,,274040,391.00,EUR,"1,8","3,083","2,635"
8116,Octagon Lily / 2-hole,,14,Crystal,,265822,326.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Crystal,Blue AB,294794,375.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Crystal,Bronze Shade,1186981,375.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Crystal,Golden Shadow,982125,375.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Crystal,Golden Teak,288049,375.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Crystal,Lilac,5039042,375.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Crystal,Silver Glaze,5101420,375.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Crystal,Silver Night,1134427,375.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Crystal,Silver Shade,982301,375.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Arctic White,,5284408,391.00,EUR,"1,8","2,641","2,194"
8116,Octagon Lily / 2-hole,,14,Dark Sapphire,,943308,391.00,EUR,"1,8","3,064","2,617"
8116,Octagon Lily / 2-hole,,14,Emerald,,696436,391.00,EUR,"1,8","3,121","2,675"
8116,Octagon Lily / 2-hole,,14,Jet,,626064,391.00,EUR,"1,8","3,209","2,763"
8116,Octagon Lily / 2-hole,,14,Light Peridot,,662780,391.00,EUR,"1,8","3,173","2,727"
8116,Octagon Lily / 2-hole,,14,Light Topaz,,274041,391.00,EUR,"1,8","3,2","2,752"
8116,Octagon Lily / 2-hole,,14,Medium Sapphire,,274042,391.00,EUR,"1,8","3,179","2,732"
8116,Octagon Lily / 2-hole,,14,Rosaline,,274043,391.00,EUR,"1,8","3,179","2,732"
8116,Octagon Lily / 2-hole,,14,Silk,,5014575,391.00,EUR,"1,8","2,741","2,295"
8116,Octagon Lily / 2-hole,,14,Topaz,,627127,391.00,EUR,"1,8","2,565","2,117"
8116,Octagon Lily / 2-hole,,14,Violet,,695138,391.00,EUR,"1,8","3,262","2,815"
8116,Octagon Lily / 2-hole,,16,Crystal,,265830,323.00,EUR,1,"2,55","2,105"
8116,Octagon Lily / 2-hole,,18,Crystal,,265837,252.00,EUR,600,"2,18","1,94"
