EAN/UPC-Code,Material,Article,Size,Colour,Effect,Foiling,Motiv ,Description,custom code,origin,packing unit size (pcs),Brutto weight,,Net weight,,price per packing unit,
9009652791985,5279198,8124/G,"MM 18,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,400,"4,457",G,"3,47",G,232,EUR
9009652374584,5237458,8125,"MM 22,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,210,"8,272",G,"6,51",G,168,EUR
9009651914101,5191410,8126,"MM 24,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,150,"11,04",G,"8,74",G,151,EUR
9009651914088,5191408,8126,"MM 22,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,210,"8,232",G,"6,47",G,168,EUR
9009651914064,5191406,8126,"MM 20,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,280,"7,105",G,"5,18",G,178,EUR
9009651914040,5191404,8126,"MM 18,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,400,"4,497",G,"3,51",G,202,EUR
9009651914026,5191402,8126,"MM 16,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,540,"3,438",G,"2,66",G,216,EUR
9009651913982,5191398,8125,"MM 24,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,150,"10,813",G,"8,78",G,151,EUR
9009652792159,5279215,8126/G,"MM 22,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,210,"8,192",G,"6,43",G,193,EUR
9009651913944,5191394,8125,"MM 18,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,400,"4,527",G,"3,54",G,202,EUR
9009651913906,5191390,8124,"MM 40,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,30,"49,68",G,"38,88",G,"95,4",EUR
9009651913883,5191388,8124,"MM 36,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,72,"33,237",G,"27,64",G,182,EUR
9009651913869,5191386,8124,"MM 32,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,96,"25,582",G,"21,28",G,198,EUR
9009651913838,5191383,8124,"MM 28,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,96,"16,678",G,"12,48",G,154,EUR
9009651913807,5191380,8124,"MM 24,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,150,"10,99",G,"8,69",G,151,EUR
9009651913784,5191378,8124,"MM 22,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,210,"8,192",G,"6,43",G,168,EUR
9009651913753,5191375,8124,"MM 20,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,280,"7,055",G,"5,13",G,178,EUR
9009651913739,5191373,8124,"MM 18,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,400,"4,457",G,"3,47",G,202,EUR
9009651913715,5191371,8124,"MM 16,0",CRYSTAL,,,,LE-LB OCTAGONS OTHER SIZES,94059110,AT*,540,"3,408",G,"2,63",G,216,EUR
9003142508510,250851,8558,"MM 70,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,1,630,G,560,G,"39,8",EUR
9003142508527,250852,8558,"MM100,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,1,1780,G,1630,G,275,EUR
9003142620229,262022,8558,"MM 20,0",ANT.GREEN,,,,LE-LB BALLS,94059110,AT,144,"14,887",G,"12,019",G,389,EUR
9003142620236,262023,8558,"MM 20,0",MED.SAPPH,,,,LE-LB BALLS,94059110,AT,144,"14,887",G,"12,019",G,389,EUR
9003142620243,262024,8558,"MM 20,0",ROSALINE,,,,LE-LB BALLS,94059110,AT,144,"14,887",G,"12,019",G,389,EUR
9003142620250,262025,8558,"MM 20,0",LT.TOP.,,,,LE-LB BALLS,94059110,AT,144,"14,98",G,"12,112",G,389,EUR
9003142620267,262026,8558,"MM 20,0",BORDEAUX,,,,LE-LB BALLS,94059110,AT,144,"14,466",G,"11,598",G,389,EUR
9003146627828,662782,8558,"MM 20,0",LT.PERI,,,,LE-LB BALLS,94059110,AT,144,"14,868",G,12,G,389,EUR
9003142620304,262030,8558,"MM 30,0",ANT.GREEN,,,,LE-LB BALLS,94059110,AT,48,"50,065",G,"43,648",G,229,EUR
9003142620311,262031,8558,"MM 30,0",BORDEAUX,,,,LE-LB BALLS,94059110,AT,48,"48,535",G,"42,118",G,229,EUR
9003142620328,262032,8558,"MM 30,0",LT.TOP.,,,,LE-LB BALLS,94059110,AT,48,"50,403",G,"43,986",G,229,EUR
9003142508503,250850,8558,"MM 60,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,5,410,G,350,G,117,EUR
9003142491041,249104,8558,"MM 50,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,12,"232,5",G,204,G,165,EUR
9003142491034,249103,8558,"MM 40,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,40,"113,025",G,104,G,281,EUR
9003142491027,249102,8558,"MM 30,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,48,"49,997",G,"43,58",G,190,EUR
9003142491010,249101,8558,"MM 20,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,144,"14,868",G,12,G,323,EUR
9003149433112,943311,8558,"MM 20,0",DK.SAPPH,,,,LE-LB BALLS,94059110,AT,144,"14,384",G,"11,516",G,389,EUR
9003149433129,943312,8558,"MM 30,0",DK.SAPPH,,,,LE-LB BALLS,94059110,AT,48,"48,238",G,"41,821",G,229,EUR
9003149821346,982134,8558,"MM 40,0",CRYSTAL,GOL.SHADOW,,,LE-LB BALLS,94059110,AT,40,"113,025",G,104,G,323,EUR
9003146627842,662784,8558,"MM 30,0",LT.PERI,,,,LE-LB BALLS,94059110,AT,48,"49,997",G,"43,58",G,229,EUR
9003146627859,662785,8558,"MM 40,0",LT.PERI,,,,LE-LB BALLS,94059110,AT,40,"113,025",G,104,G,337,EUR
9003149878715,987871,8558,"MM 30,0",CRYSTAL,GOL.SHADOW,,,LE-LB BALLS,94059110,AT,48,"49,997",G,"43,58",G,219,EUR
9003146627927,662792,8558,"MM 40,0",BORDEAUX,,,,LE-LB BALLS,94059110,AT,40,"109,537",G,"100,512",G,337,EUR
9003142620335,262033,8558,"MM 30,0",MED.SAPPH,,,,LE-LB BALLS,94059110,AT,48,"50,065",G,"43,648",G,229,EUR
9003146260599,626059,8558,"MM 40,0",TOP,,,,LE-LB BALLS,94059110,AT,40,"89,77",G,"80,745",G,337,EUR
9003146261053,626105,8558,"MM 40,0",BL.VIOLET,,,,LE-LB BALLS,94059110,AT,40,"94,29",G,"91,29",G,337,EUR
9003146264597,626459,8558,"MM 30,0",BL.VIOLET,,,,LE-LB BALLS,94059110,AT,48,"52,433",G,"46,016",G,229,EUR
9003146964381,696438,8558,"MM 30,0",EMER,,,,LE-LB BALLS,94059110,AT,48,"49,144",G,"42,727",G,229,EUR
9003146271229,627122,8558,"MM 20,0",BL.VIOLET,,,,LE-LB BALLS,94059110,AT,144,"15,539",G,"12,671",G,389,EUR
9003146964398,696439,8558,"MM 40,0",EMER,,,,LE-LB BALLS,94059110,AT,40,"110,99",G,"101,965",G,337,EUR
9003148892279,889227,8558,"MM 40,0",CRYSTAL,GOLD. TEAK,,,LE-LB BALLS,94059110,AT,40,"113,025",G,104,G,323,EUR
9003146271281,627128,8558,"MM 20,0",TOP,,,,LE-LB BALLS,94059110,AT,144,"12,185",G,"9,317",G,389,EUR
9003146271342,627134,8558,"MM 30,0",TOP,,,,LE-LB BALLS,94059110,AT,48,"40,252",G,"33,835",G,229,EUR
9003146964374,696437,8558,"MM 20,0",EMER,,,,LE-LB BALLS,94059110,AT,144,"14,633",G,"11,765",G,389,EUR
9003146951459,695145,8558,"MM 20,0",VIOLET,,,,LE-LB BALLS,94059110,AT,144,"15,256",G,"12,388",G,389,EUR
9003146794285,679428,8558,"MM 30,0",CRYSTAL,GOLD. TEAK,,,LE-LB BALLS,94059110,AT,48,"49,997",G,"43,58",G,219,EUR
9003146951473,695147,8558,"MM 40,0",VIOLET,,,,LE-LB BALLS,94059110,AT,40,"94,85",G,"91,43",G,337,EUR
9003146951466,695146,8558,"MM 30,0",VIOLET,,,,LE-LB BALLS,94059110,AT,48,"51,405",G,"44,988",G,229,EUR
9003146502736,650273,8558,"MM 20,0",JET,,,,LE-LB BALLS,94059110,AT,144,"15,021",G,"12,153",G,389,EUR
9003146502743,650274,8558,"MM 30,0",JET,,,,LE-LB BALLS,94059110,AT,48,"50,552",G,"44,135",G,229,EUR
9003146502750,650275,8558,"MM 40,0",JET,,,,LE-LB BALLS,94059110,AT,40,"114,349",G,"105,324",G,337,EUR
9003142620434,262043,8558,"MM 40,0",ROSALINE,,,,LE-LB BALLS,94059110,AT,40,"95,25",G,"92,25",G,337,EUR
9003142620427,262042,8558,"MM 40,0",MED.SAPPH,,,,LE-LB BALLS,94059110,AT,40,"95,72",G,"92,72",G,337,EUR
9003142620410,262041,8558,"MM 40,0",LT.TOP.,,,,LE-LB BALLS,94059110,AT,40,"113,994",G,"104,969",G,337,EUR
9003142620403,262040,8558,"MM 40,0",ANT.GREEN,,,,LE-LB BALLS,94059110,AT,40,"92,73",G,"89,73",G,337,EUR
9003142620359,262035,8558,"MM 40,0",CRYSTAL,BL.AB,,,LE-LB BALLS,94059110,AT,40,"95,14",G,"92,14",G,323,EUR
9003142620342,262034,8558,"MM 30,0",ROSALINE,,,,LE-LB BALLS,94059110,AT,48,"50,065",G,"43,648",G,229,EUR
9009651014221,5101422,8558,"MM 40,0",CRYSTAL,SILVGLAZE,,,LE-LB BALLS,94059110,AT,40,"113,025",G,104,G,323,EUR
9009651014214,5101421,8558,"MM 30,0",CRYSTAL,SILVGLAZE,,,LE-LB BALLS,94059110,AT,48,"49,997",G,"43,58",G,219,EUR
9009652792210,5279221,8558/G,"MM 30,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,48,"49,997",G,"43,58",G,219,EUR
9009652792227,5279222,8558/G,"MM 40,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,40,"113,025",G,104,G,323,EUR
9009650391552,5039155,8558,"MM 40,0",SILK,,,,LE-LB BALLS,94059110,AT,40,"96,553",G,"87,528",G,337,EUR
9009650391521,5039152,8558,"MM 30,0",SILK,,,,LE-LB BALLS,94059110,AT,48,"43,095",G,"36,678",G,229,EUR
9009652844100,5284410,8558,"MM 30,0",ARCWHITE,,,,LE-LB BALLS,94059110,AT,48,"41,47",G,"35,053",G,229,EUR
9003142620298,262029,8558,"MM 30,0",CRYSTAL,BL.AB,,,LE-LB BALLS,94059110,AT,48,"49,997",G,"43,58",G,219,EUR
9003142620274,262027,8558,"MM 20,0",CRYSTAL,BL.AB,,,LE-LB BALLS,94059110,AT,144,"14,868",G,12,G,373,EUR
9009650391507,5039150,8558,"MM 20,0",SILK,,,,LE-LB BALLS,94059110,AT,144,"12,967",G,"10,099",G,389,EUR
9009650760228,5076022,,,,,,,LE-LB BALLS,,,0,0,KG,0,KG,0,
9007810027648,1002764,8558,"MM 40,0",DK.SAPPH,,,,LE-LB BALLS,94059110,AT,40,"108,826",G,"99,801",G,337,EUR
9003141592121,159212,8560,"MM 50,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,28,"93,866",G,"82,83",G,182,EUR
9003141592114,159211,8560,"MM 40,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,48,"50,792",G,"43,762",G,139,EUR
9003141590547,159054,8560,"MM 30,0",CRYSTAL,,,,LE-LB BALLS,94059110,AT,144,"18,856",G,"15,998",G,119,EUR
9003141592176,159217,8611,"MM100,0X 20,0",CRYSTAL,,,,LE-LB DROPS,94059110,AT,48,"38,869",G,"32,702",G,283,EUR
9003141592206,159220,8621,"MM 63,0X 21,0",CRYSTAL,,,,LE-LB DROPS,94059110,AT,90,"32,333",G,"26,906",G,350,EUR
9003141592220,159222,8671,"MM 63,0X 16,0",CRYSTAL,,,,LE-LB DROPS,94059110,AT,125,"20,48",G,"15,897",G,401,EUR
9003141592237,159223,8671,"MM 76,0X 20,0",CRYSTAL,,,,LE-LB DROPS,94059110,AT,48,30,G,"26,523",G,247,EUR
9003141592152,159215,8611,"MM 50,0X 14,0",CRYSTAL,,,,LE-LB DROPS,94059110,AT,150,"12,8",G,"11,13",G,232,EUR
9003141592145,159214,8611,"MM 40,0X 11,0",CRYSTAL,,,,LE-LB DROPS,94059110,AT,336,"6,361",G,"5,26",G,275,EUR
9003141592138,159213,8611,"MM 18,0X  7,5",CRYSTAL,,,,LE-LB DROPS,94059110,AT,1620,"1488,812",MG,"1232,639",MG,924,EUR
