N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5279221,"8558/G MM 30,0 CRYSTAL B",8558GM30001B-,au programme,48,"219,00 EUR",9600,0,0,0,9009652792210
5279222,"8558/G MM 40,0 CRYSTAL B",8558GM40001B-,au programme,40,"323,00 EUR",13760,0,0,0,9009652792227
