N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5191369,"8124 MM 14,0 CRYSTAL B",8124M14001B-,au programme,800,"254,00 EUR",38400,0,0,0,9009651913692
5191371,"8124 MM 16,0 CRYSTAL B",8124M16001B-,au programme,540,"216,00 EUR",18900,0,0,0,9009651913715
5191373,"8124 MM 18,0 CRYSTAL B",8124M18001B-,au programme,400,"202,00 EUR",3600,0,0,0,9009651913739
5191375,"8124 MM 20,0 CRYSTAL B",8124M20001B-,au programme,280,"178,00 EUR",0,0,0,0,9009651913753
5191378,"8124 MM 22,0 CRYSTAL B",8124M22001B-,au programme,210,"168,00 EUR",1470,0,0,0,9009651913784
5191380,"8124 MM 24,0 CRYSTAL B",8124M24001B-,au programme,150,"151,00 EUR",900,0,0,0,9009651913807
5191383,"8124 MM 28,0 CRYSTAL B",8124M28001B-,au programme,96,"154,00 EUR",1536,0,0,0,9009651913838
5191386,"8124 MM 32,0 CRYSTAL B",8124M32001B-,au programme,96,"198,00 EUR",864,0,0,0,9009651913869
5191388,"8124 MM 36,0 CRYSTAL B",8124M36001B-,au programme,72,"182,00 EUR",432,0,0,0,9009651913883
5191390,"8124 MM 40,0 CRYSTAL B",8124M40001B-,au programme,30,"95,40 EUR",300,0,0,0,9009651913906
