N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
981224,8980 NR 321 001,8980N321001-,au programme,5,"192,00 EUR",30,0,0,0,9003149812245
981618,8980 NR 321 004,8980N321004-,au programme,5,"122,00 EUR",30,0,0,0,9003149816182
981733,8980 NR 321 005,8980N321005-,au programme,5,"73,00 EUR",50,0,0,0,9003149817332
982027,8980 NR 321 006,8980N321006-,au programme,5,"122,00 EUR",50,0,0,0,9003149820271
982035,8980 NR 321 007,8980N321007-,au programme,5,"118,00 EUR",45,0,0,0,9003149820356
982197,8980 NR 321 008,8980N321008-,au programme,5,"112,00 EUR",45,0,0,0,9003149821971
982203,8980 NR 321 009,8980N321009-,au programme,5,"112,00 EUR",0,0,0,0,9003149822039
981222,8980 NR 322 001,8980N322001-,au programme,5,"193,00 EUR",30,0,0,0,9003149812221
981614,8980 NR 322 004,8980N322004-,au programme,5,"124,00 EUR",88,0,0,0,9003149816144
981728,8980 NR 322 005,8980N322005-,au programme,5,"74,30 EUR",50,0,0,0,9003149817288
982023,8980 NR 322 006,8980N322006-,au programme,5,"123,00 EUR",0,0,0,0,9003149820233
982031,8980 NR 322 007,8980N322007-,au programme,5,"119,00 EUR",50,0,0,0,9003149820318
982195,8980 NR 322 008,8980N322008-,au programme,5,"113,00 EUR",0,0,0,0,9003149821957
982200,8980 NR 322 009,8980N322009-,au programme,5,"113,00 EUR",0,0,0,0,9003149822008
981225,8980 NR 331 001,8980N331001-,au programme,5,"248,00 EUR",0,0,0,0,9003149812252
981619,8980 NR 331 004,8980N331004-,au programme,5,"159,00 EUR",35,0,0,0,9003149816199
981735,8980 NR 331 005,8980N331005-,au programme,5,"94,70 EUR",50,0,0,0,9003149817356
982028,8980 NR 331 006,8980N331006-,au programme,5,"158,00 EUR",50,0,0,0,9003149820288
982036,8980 NR 331 007,8980N331007-,au programme,5,"158,00 EUR",50,0,0,0,9003149820363
982199,8980 NR 331 008,8980N331008-,au programme,5,"146,00 EUR",25,0,0,0,9003149821995
