N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
982205,8980 NR 331 009,8980N331009-,au programme,5,"146,00 EUR",0,0,0,0,9003149822053
1016523,8980 NR 331 016,8980N331016-,au programme,4,"125,00 EUR",30,0,0,0,9007810165234
5296978,8980 NR 331 027,8980N331027-,au programme,5,"120,00 EUR",0,0,0,0,9009652969780
5300005,8980 NR 331 028,8980N331028-,au programme,5,"78,10 EUR",20,0,0,0,9009653000055
981223,8980 NR 332 001,8980N332001-,au programme,5,"249,00 EUR",30,0,0,0,9003149812238
981615,8980 NR 332 004,8980N332004-,au programme,5,"160,00 EUR",155,0,0,0,9003149816151
981730,8980 NR 332 005,8980N332005-,au programme,5,"95,80 EUR",30,0,0,0,9003149817301
982024,8980 NR 332 006,8980N332006-,au programme,5,"159,00 EUR",50,0,0,0,9003149820240
982032,8980 NR 332 007,8980N332007-,au programme,5,"159,00 EUR",0,0,0,0,9003149820325
982196,8980 NR 332 008,8980N332008-,au programme,5,"147,00 EUR",50,0,0,0,9003149821964
982201,8980 NR 332 009,8980N332009-,au programme,5,"147,00 EUR",0,0,0,0,9003149822015
1016524,8980 NR 332 016,8980N332016-,au programme,4,"126,00 EUR",50,0,0,0,9007810165241
5291330,8980 NR 332 038,8980N332038-,au programme,5,"121,00 EUR",0,0,0,0,9009652913301
5299982,8980 NR 332 039,8980N332039-,au programme,5,"79,30 EUR",0,0,0,0,9009652999824
981620,8980 NR 341 004,8980N341004-,au programme,5,"202,00 EUR",30,0,0,0,9003149816205
982029,8980 NR 341 006,8980N341006-,au programme,5,"199,00 EUR",0,0,0,0,9003149820295
982037,8980 NR 341 007,8980N341007-,au programme,5,"199,00 EUR",0,0,0,0,9003149820370
5284269,8980 NR 341 035,8980N341035-,au programme,5,"74,90 EUR",0,0,0,0,9009652842694
5284307,8980 NR 341 036,8980N341036-,au programme,4,"84,40 EUR",27,0,0,0,9009652843073
5296982,8980 NR 341 037,8980N341037-,au programme,5,"175,00 EUR",0,0,0,0,9009652969827
5300021,8980 NR 341 038,8980N341038-,au programme,5,"106,00 EUR",30,0,0,0,9009653000215
981616,8980 NR 342 004,8980N342004-,au programme,5,"203,00 EUR",35,0,0,0,9003149816168
982025,8980 NR 342 006,8980N342006-,au programme,5,"200,00 EUR",50,0,0,0,9003149820257
982033,8980 NR 342 007,8980N342007-,au programme,5,"200,00 EUR",0,0,0,0,9003149820332
5283950,8980 NR 342 028,8980N342028-,au programme,5,"75,90 EUR",0,0,0,0,9009652839502
5284283,8980 NR 342 029,8980N342029-,au programme,4,"85,20 EUR",26,0,0,0,9009652842830
5291336,8980 NR 342 030,8980N342030-,au programme,5,"176,00 EUR",0,0,0,0,9009652913363
5300017,8980 NR 342 032,8980N342032-,au programme,5,"107,00 EUR",0,0,0,0,9009653000178
981621,8980 NR 361 004,8980N361004-,au programme,5,"281,00 EUR",50,0,0,0,9003149816212
982030,8980 NR 361 006,8980N361006-,au programme,5,"280,00 EUR",0,0,0,0,9003149820301
982038,8980 NR 361 007,8980N361007-,au programme,5,"275,00 EUR",5,0,0,0,9003149820387
981617,8980 NR 362 004,8980N362004-,au programme,5,"282,00 EUR",35,0,0,0,9003149816175
982026,8980 NR 362 006,8980N362006-,au programme,5,"281,00 EUR",0,0,0,0,9003149820264
982034,8980 NR 362 007,8980N362007-,au programme,5,"277,00 EUR",50,0,0,0,9003149820349
1016429,8980 NR 530 011,8980N530011-,au programme,10,"218,00 EUR",0,0,0,0,9007810164299
1016430,8980 NR 530 012,8980N530012-,au programme,10,"245,00 EUR",0,0,0,0,9007810164305
1016431,8980 NR 530 013,8980N530013-,au programme,10,"245,00 EUR",0,0,0,0,9007810164312
5300031,8980 NR 540 007,8980N540007-,au programme,3,"113,00 EUR",24,0,0,0,9009653000314
1016466,8980 NR 550 011,8980N550011-,au programme,5,"163,00 EUR",50,0,0,0,9007810164664
1016467,8980 NR 550 012,8980N550012-,au programme,5,"184,00 EUR",0,0,0,0,9007810164671
1016468,8980 NR 550 013,8980N550013-,au programme,5,"184,00 EUR",50,0,0,0,9007810164688
