N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
1120173,8950 NR 809 150 CRYSTAL B,8950N809150001B-,au programme,90,"236,00 EUR",9540,0,0,0,9007811201733
1120175,8950 NR 809 163 CRYSTAL B,8950N809163001B-,au programme,60,"296,00 EUR",10920,0,0,0,9007811201757
1120177,8950 NR 809 176 CRYSTAL B,8950N809176001B-,au programme,30,"244,00 EUR",8760,0,0,0,9007811201771
1120178,8950 NR 809 189 CRYSTAL B,8950N809189001B-,au programme,24,"258,00 EUR",6288,0,0,0,9007811201788
5284396,8950 NR 809 163 ARCTIC WHITE B,8950N809163298B-,au programme,60,"356,00 EUR",1020,0,0,0,9009652843967
