N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
1067320,"7100 MM 20,0 CRYSTAL CAL'VZ'SI",7100M20001CVZSI-,au programme,144,"384,00 EUR",2592,0,0,0,9007810673203
1067349,"7100 MM 30,0 CRYSTAL CAL'VZ'SI",7100M30001CVZSI-,au programme,48,"226,00 EUR",768,0,0,0,9007810673494
1067350,"7100 MM 40,0 CRYSTAL CAL'VZ'SI",7100M40001CVZSI-,au programme,40,"333,00 EUR",800,0,0,0,9007810673500
1067351,"7100 MM 50,0 CRYSTAL CAL'VZ'SI",7100M50001CVZSI-,au programme,12,"196,00 EUR",948,0,0,0,9007810673517
1067352,"7100 MM 60,0 CRYSTAL CAL'VZ'SI",7100M60001CVZSI-,au programme,5,"139,00 EUR",440,0,0,0,9007810673524
