N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
1165290,8950 NR 307 100 CRYSTAL B,8950N307100001B-,au programme,18,"270,00 EUR",324,0,0,0,9007811652900
1165291,8950 NR 307 150 CRYSTAL B,8950N307150001B-,au programme,96,"148,00 EUR",864,0,0,0,9007811652917
1165292,8950 NR 307 163 CRYSTAL B,8950N307163001B-,au programme,90,"333,00 EUR",540,0,0,0,9007811652924
1165293,8950 NR 307 176 CRYSTAL B,8950N307176001B-,au programme,60,"309,00 EUR",1920,0,0,0,9007811652931
