N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
934451,8950 NR 202 150 CRYSTAL B,8950N202150001B-,au programme,72,"671,00 EUR",288,0,0,0,9003149344517
986334,8950 NR 202 163 CRYSTAL B,8950N202163001B-,au programme,36,"412,00 EUR",468,0,0,0,9003149863346
986335,8950 NR 202 176 CRYSTAL B,8950N202176001B-,au programme,20,"282,00 EUR",1100,0,0,0,9003149863353
995659,8950 NR 202 189 CRYSTAL B,8950N202189001B-,au programme,14,"315,00 EUR",2212,0,0,0,9003149956598
