N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
166098,8269 NR 075 002 CRYSTAL B,8269N75002001B-,au programme,48,"188,00 EUR",240,0,0,0,9003141660981
166099,8269 NR 081 001 CRYSTAL B,8269N81001001B-,au programme,48,"191,00 EUR",240,0,0,0,9003141660998
159882,8269 NR 137 002 CRYSTAL B,8269N137002001B-,au programme,24,"154,00 EUR",0,0,0,0,9003141598826
159885,8269 NR 145 001 CRYSTAL B,8269N145001001B-,au programme,24,"148,00 EUR",288,0,0,0,9003141598857
