N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
159250,"8930 MM 50,0X 30,0 CRYSTAL B",8930M50X30001B-,au programme,90,"223,00 EUR",2160,0,0,0,9003141592503
159251,"8930 MM 63,0X 37,0 CRYSTAL B",8930M63X37001B-,au programme,60,"221,00 EUR",1560,0,0,0,9003141592510
969542,"8930 MM 76,0X 44,0 CRYSTAL B",8930M76X44001B-,au programme,40,"218,00 EUR",0,0,0,0,9003149695428
969541,"8930 MM 89,0X 52,0 CRYSTAL B",8930M89X52001B-,au programme,21,"193,00 EUR",168,0,0,0,9003149695411
193125,"8930 MM100,0X 59,0 CRYSTAL B",8930M100X59001B-,au programme,18,"279,00 EUR",1620,0,0,0,9003141931258
159963,"8930 MM150,0X 88,0 CRYSTAL B",8930M150X88001B-,au programme,6,"179,00 EUR",12,0,0,0,9003141599632
5290982,"8930 MM175,0X102,0 CRYSTAL B",8930M175X102001B-,au programme,2,"273,00 EUR",118,0,0,0,9009652909823
982173,"8930 MM 76,0X 44,0 CRYSTAL GOL.SHADOW B",8930M76X44001GSHAB-,au programme,40,"250,00 EUR",640,0,0,0,9003149821735
982174,"8930 MM 89,0X 52,0 CRYSTAL GOL.SHADOW B",8930M89X52001GSHAB-,au programme,21,"222,00 EUR",63,0,0,0,9003149821742
982170,"8930 MM100,0X 59,0 CRYSTAL GOL.SHADOW B",8930M100X59001GSHAB-,au programme,18,"321,00 EUR",144,0,0,0,9003149821704
969556,"8930 MM 76,0X 44,0 CRYSTAL GOLD. TEAK B",8930M76X44001GOLDTB-,au programme,40,"250,00 EUR",720,0,0,0,9003149695565
969559,"8930 MM 89,0X 52,0 CRYSTAL GOLD. TEAK B",8930M89X52001GOLDTB-,au programme,21,"222,00 EUR",126,0,0,0,9003149695596
608783,"8930 MM100,0X 59,0 CRYSTAL GOLD. TEAK B",8930M100X59001GOLDTB-,au programme,18,"321,00 EUR",1044,0,0,0,9003146087837
608784,"8930 MM150,0X 88,0 CRYSTAL GOLD. TEAK B",8930M150X88001GOLDTB-,au programme,6,"206,00 EUR",30,0,0,0,9003146087844
