N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5191400,"8126 MM 14,0 CRYSTAL B",8126M14001B-,au programme,800,"254,00 EUR",9600,0,0,0,9009651914002
5191402,"8126 MM 16,0 CRYSTAL B",8126M16001B-,au programme,540,"216,00 EUR",32940,0,0,0,9009651914026
5191404,"8126 MM 18,0 CRYSTAL B",8126M18001B-,au programme,400,"202,00 EUR",11200,0,0,0,9009651914040
5191406,"8126 MM 20,0 CRYSTAL B",8126M20001B-,au programme,280,"178,00 EUR",0,0,0,0,9009651914064
5191408,"8126 MM 22,0 CRYSTAL B",8126M22001B-,au programme,210,"168,00 EUR",50400,0,0,0,9009651914088
5191410,"8126 MM 24,0 CRYSTAL B",8126M24001B-,au programme,150,"151,00 EUR",5700,0,0,0,9009651914101
