N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5034021,"8908 MM 50,0X 39,0 CRYSTAL B",8908M50X39001B-,au programme,36,"116,00 EUR",18360,0,0,0,9009650340215
5034022,"8908 MM 63,0X 51,0 CRYSTAL B",8908M63X51001B-,au programme,30,"143,00 EUR",1530,0,0,0,9009650340222
5034023,"8908 MM 76,0X 61,0 CRYSTAL B",8908M76X61001B-,au programme,21,"169,00 EUR",126,0,0,0,9009650340239
5034024,"8908 MM 89,0X 72,0 CRYSTAL B",8908M89X72001B-,au programme,8,"109,00 EUR",992,0,0,0,9009650340246
5034025,"8908 MM100,0X 81,0 CRYSTAL B",8908M100X81001B-,au programme,6,"121,00 EUR",774,0,0,0,9009650340253
5036880,"8908 MM 63,0X 51,0 JET B",8908M63X51280B-,au programme,30,"172,00 EUR",300,0,0,0,9009650368806
5036881,"8908 MM 76,0X 61,0 JET B",8908M76X61280B-,au programme,21,"203,00 EUR",882,0,0,0,9009650368813
5036882,"8908 MM 89,0X 72,0 JET B",8908M89X72280B-,au programme,8,"131,00 EUR",1032,0,0,0,9009650368820
5039195,"8908 MM 63,0X 51,0 SILK B",8908M63X51391B-,au programme,30,"172,00 EUR",2670,0,0,0,9009650391958
5039196,"8908 MM 76,0X 61,0 SILK B",8908M76X61391B-,au programme,21,"203,00 EUR",1974,0,0,0,9009650391965
5046148,"8908 MM 63,0X 51,0 CRYSTAL GOL.SHADOW B",8908M63X51001GSHAB-,au programme,30,"165,00 EUR",570,0,0,0,9009650461484
5046152,"8908 MM 76,0X 61,0 CRYSTAL GOL.SHADOW B",8908M76X61001GSHAB-,au programme,21,"195,00 EUR",378,0,0,0,9009650461521
5046156,"8908 MM 89,0X 72,0 CRYSTAL GOL.SHADOW B",8908M89X72001GSHAB-,au programme,8,"125,00 EUR",48,0,0,0,9009650461569
5046160,"8908 MM100,0X 81,0 CRYSTAL GOL.SHADOW B",8908M100X81001GSHAB-,au programme,6,"139,00 EUR",36,0,0,0,9009650461606
5046147,"8908 MM 63,0X 51,0 CRYSTAL GOLD. TEAK B",8908M63X51001GOLDTB-,au programme,30,"165,00 EUR",2430,0,0,0,9009650461477
5046151,"8908 MM 76,0X 61,0 CRYSTAL GOLD. TEAK B",8908M76X61001GOLDTB-,au programme,21,"195,00 EUR",2940,0,0,0,9009650461514
5046155,"8908 MM 89,0X 72,0 CRYSTAL GOLD. TEAK B",8908M89X72001GOLDTB-,au programme,8,"125,00 EUR",688,0,0,0,9009650461552
5046159,"8908 MM100,0X 81,0 CRYSTAL GOLD. TEAK B",8908M100X81001GOLDTB-,au programme,6,"139,00 EUR",228,0,0,0,9009650461590
5039046,"8908 MM 63,0X 51,0 CRYSTAL LILAC B",8908M63X51001LILAB-,au programme,30,"165,00 EUR",150,0,0,0,9009650390463
5039053,"8908 MM 76,0X 61,0 CRYSTAL LILAC B",8908M76X61001LILAB-,au programme,21,"195,00 EUR",357,0,0,0,9009650390531
5046150,"8908 MM 63,0X 51,0 CRYSTAL SILVSHADE B",8908M63X51001SSHAB-,au programme,30,"165,00 EUR",720,0,0,0,9009650461507
5046154,"8908 MM 76,0X 61,0 CRYSTAL SILVSHADE B",8908M76X61001SSHAB-,au programme,21,"195,00 EUR",0,0,0,0,9009650461545
5046158,"8908 MM 89,0X 72,0 CRYSTAL SILVSHADE B",8908M89X72001SSHAB-,au programme,8,"125,00 EUR",0,0,0,0,9009650461583
5046162,"8908 MM100,0X 81,0 CRYSTAL SILVSHADE B",8908M100X81001SSHAB-,au programme,6,"139,00 EUR",0,0,0,0,9009650461620
