N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
1165297,8950 NR 404 150 CRYSTAL B,8950N404150001B-,au programme,80,"235,00 EUR",1680,0,0,0,9007811652979
1165299,8950 NR 404 163 CRYSTAL B,8950N404163001B-,au programme,45,"196,00 EUR",180,0,0,0,9007811652993
1165301,8950 NR 404 176 CRYSTAL B,8950N404176001B-,au programme,18,"99,10 EUR",3690,0,0,0,9007811653013
