N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5292448,"7153 MM 34,0 CRYSTAL MD305",7153M34001MD305-,au programme,5,"123,00 EUR",55,0,0,0,9009652924482
5292436,"7153 MM 34,0 CRYSTAL MD302",7153M34001MD302-,au programme,5,"108,00 EUR",65,0,0,0,9009652924369
5292440,"7153 MM 34,0 CRYSTAL MD304",7153M34001MD304-,au programme,5,"108,00 EUR",60,0,0,0,9009652924406
5292437,"7153 MM 34,0 CRYSTAL MD303",7153M34001MD303-,au programme,5,"108,00 EUR",60,0,0,0,9009652924376
5236339,"7153 MM 34,0 CRYSTAL AB 082",7153M34001AB082-,au programme,5,"113,00 EUR",20,0,0,0,9009652363397
5236342,"7153 MM 62,0 CRYSTAL AB 082",7153M62001AB082-,au programme,5,"203,00 EUR",170,0,0,0,9009652363427
5202594,"7153 MM 34,0 CRYSTAL GOL.SHADOW 081",7153M34001GSHA081-,au programme,5,"128,00 EUR",20,0,0,0,9009652025943
5202600,"7153 MM 62,0 CRYSTAL GOL.SHADOW 081",7153M62001GSHA081-,au programme,5,"229,00 EUR",45,0,0,0,9009652026001
5236340,"7153 MM 34,0 CRYSTAL CHROM 082",7153M34001CHRM082-,au programme,5,"113,00 EUR",35,0,0,0,9009652363403
5236343,"7153 MM 62,0 CRYSTAL CHROM 082",7153M62001CHRM082-,au programme,5,"203,00 EUR",40,0,0,0,9009652363434
5236341,"7153 MM 34,0 JET HEMAT 088",7153M34280HEM088-,au programme,5,"128,00 EUR",50,0,0,0,9009652363410
5236344,"7153 MM 62,0 JET HEMAT 088",7153M62280HEM088-,au programme,5,"229,00 EUR",60,0,0,0,9009652363441
