N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
159227,"8731 MM 28,0X 17,0 CRYSTAL B",8731M28X17001B-,au programme,400,"556,00 EUR",4400,0,0,0,9003141592275
159228,"8731 MM 38,0X 22,0 CRYSTAL B",8731M38X22001B-,au programme,192,"358,00 EUR",768,0,0,0,9003141592282
159042,"8731 MM 50,0X 29,0 CRYSTAL B",8731M50X29001B-,au programme,72,"206,00 EUR",6048,0,0,0,9003141590424
159229,"8731 MM 63,0X 37,0 CRYSTAL B",8731M63X37001B-,au programme,45,"261,00 EUR",1260,0,0,0,9003141592299
159230,"8731 MM 76,0X 44,0 CRYSTAL B",8731M76X44001B-,au programme,30,"272,00 EUR",480,0,0,0,9003141592305
