N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
159204,"8321 MM 63,0X 22,0 CRYSTAL B",8321M63X22001B-,au programme,125,"514,00 EUR",2875,0,0,0,9003141592046
159205,"8321 MM 76,0X 22,0 CRYSTAL B",8321M76X22001B-,au programme,100,"462,00 EUR",0,0,0,0,9003141592053
859916,"8321 MM 63,0X 22,0 CRYSTAL GOLD. TEAK B",8321M63X22001GOLDTB-,au programme,125,"591,00 EUR",250,0,0,0,9003148599161
854284,"8321 MM 76,0X 22,0 CRYSTAL GOLD. TEAK B",8321M76X22001GOLDTB-,au programme,100,"531,00 EUR",1400,0,0,0,9003148542846
