N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
159231,"8741 MM 38,0X 25,0 CRYSTAL B",8741M38X25001B-,au programme,224,"495,00 EUR",2688,0,0,0,9003141592312
159232,"8741 MM 50,0X 34,0 CRYSTAL B",8741M50X34001B-,au programme,90,"405,00 EUR",0,0,0,0,9003141592329
159233,"8741 MM 63,0X 43,0 CRYSTAL B",8741M63X43001B-,au programme,45,"352,00 EUR",585,0,0,0,9003141592336
1102054,"8741 MM 76,0X 52,0 CRYSTAL B",8741M76X52001B-,au programme,24,"235,00 EUR",0,0,0,0,9007811020549
1102155,"8741 MM 89,0X 60,0 CRYSTAL B",8741M89X60001B-,au programme,10,"141,00 EUR",220,0,0,0,9007811021553
