N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
1104499,8950 NR 203 138 CRYSTAL B,8950N203138001B-,au programme,60,"397,00 EUR",1500,0,0,0,9007811044996
1104500,8950 NR 203 150 CRYSTAL B,8950N203150001B-,au programme,36,"357,00 EUR",216,0,0,0,9007811045009
1104501,8950 NR 203 163 CRYSTAL B,8950N203163001B-,au programme,12,"151,00 EUR",276,0,0,0,9007811045016
1104502,8950 NR 203 176 CRYSTAL B,8950N203176001B-,au programme,8,"152,00 EUR",0,0,0,0,9007811045023
