N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5191392,"8125 MM 14,0 CRYSTAL B",8125M14001B-,au programme,800,"254,00 EUR",8000,0,0,0,9009651913920
5191394,"8125 MM 18,0 CRYSTAL B",8125M18001B-,au programme,400,"202,00 EUR",2000,0,0,0,9009651913944
5191396,"8125 MM 20,0 CRYSTAL B",8125M20001B-,au programme,280,"178,00 EUR",2240,0,0,0,9009651913968
5237458,"8125 MM 22,0 CRYSTAL B",8125M22001B-,au programme,210,"168,00 EUR",21840,0,0,0,9009652374584
5191398,"8125 MM 24,0 CRYSTAL B",8125M24001B-,au programme,150,"151,00 EUR",3150,0,0,0,9009651913982
