N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
159206,"8322 MM 63,0X 22,0 CRYSTAL B",8322M63X22001B-,au programme,125,"514,00 EUR",0,0,0,0,9003141592060
159207,"8322 MM 76,0X 22,0 CRYSTAL B",8322M76X22001B-,au programme,100,"462,00 EUR",500,0,0,0,9003141592077
668597,"8322 MM 63,0X 22,0 CRYSTAL GOLD. TEAK B",8322M63X22001GOLDTB-,au programme,125,"591,00 EUR",0,0,0,0,9003146685972
632888,"8322 MM 76,0X 22,0 CRYSTAL GOLD. TEAK B",8322M76X22001GOLDTB-,au programme,100,"531,00 EUR",5600,0,0,0,9003146328886
