N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
159213,"8611 MM 18,0X 7,5 CRYSTAL B",8611M18X7001B-,au programme,1620,"924,00 EUR",4860,0,0,0,9003141592138
159214,"8611 MM 40,0X 11,0 CRYSTAL B",8611M40X11001B-,au programme,336,"275,00 EUR",12096,0,0,0,9003141592145
159215,"8611 MM 50,0X 14,0 CRYSTAL B",8611M50X14001B-,au programme,150,"232,00 EUR",4800,0,0,0,9003141592152
159216,"8611 MM 63,0X 13,0 CRYSTAL B",8611M63X13001B-,au programme,150,"344,00 EUR",7950,0,0,0,9003141592169
159217,"8611 MM100,0X 20,0 CRYSTAL B",8611M100X20001B-,au programme,48,"283,00 EUR",3936,0,0,0,9003141592176
207943,"8611 MM 40,0X 11,0 ANTIQUE GREEN B",8611M40X11509B-,au programme,336,"331,00 EUR",1680,0,0,0,9003142079430
941297,"8611 MM 40,0X 11,0 BLUE VIOLET B",8611M40X11349B-,au programme,336,"331,00 EUR",1680,0,0,0,9003149412971
661906,"8611 MM 40,0X 11,0 BORDEAUX B",8611M40X11514B-,au programme,336,"331,00 EUR",2352,0,0,0,9003146619069
943313,"8611 MM 40,0X 11,0 DARK SAPPHIRE B",8611M40X11255B-,au programme,336,"331,00 EUR",1680,0,0,0,9003149433136
624856,"8611 MM 40,0X 11,0 JET B",8611M40X11280B-,au programme,336,"331,00 EUR",13440,0,0,0,9003146248566
686085,"8611 MM 40,0X 11,0 LIGHT PERIDOT B",8611M40X11387B-,au programme,336,"331,00 EUR",15792,0,0,0,9003146860850
247741,"8611 MM 40,0X 11,0 LIGHT TOPAZ B",8611M40X11226B-,au programme,336,"331,00 EUR",2016,0,0,0,9003142477410
182808,"8611 MM 40,0X 11,0 MEDIUM SAPPHIRE B",8611M40X11210B-,au programme,336,"331,00 EUR",672,0,0,0,9003141828084
178664,"8611 MM 40,0X 11,0 ROSALINE B",8611M40X11508B-,au programme,336,"331,00 EUR",1008,0,0,0,9003141786643
941296,"8611 MM 40,0X 11,0 TOPAZ B",8611M40X11203B-,au programme,336,"331,00 EUR",3360,0,0,0,9003149412964
170300,"8611 MM 40,0X 11,0 CRYSTAL BL.AB B",8611M40X11001BLABB-,au programme,336,"317,00 EUR",1680,0,0,0,9003141703008
1136566,"8611 MM 40,0X 11,0 CRYSTAL GOL.SHADOW B",8611M40X11001GSHAB-,au programme,336,"317,00 EUR",9408,0,0,0,9007811365664
681160,"8611 MM 40,0X 11,0 CRYSTAL GOLD. TEAK B",8611M40X11001GOLDTB-,au programme,336,"317,00 EUR",2016,0,0,0,9003146811609
657377,"8611 MM 50,0X 14,0 CRYSTAL GOLD. TEAK B",8611M50X14001GOLDTB-,au programme,150,"266,00 EUR",900,0,0,0,9003146573774
679322,"8611 MM 63,0X 13,0 CRYSTAL GOLD. TEAK B",8611M63X13001GOLDTB-,au programme,150,"395,00 EUR",1500,0,0,0,9003146793226
908459,"8611 MM100,0X 20,0 CRYSTAL GOLD. TEAK B",8611M100X20001GOLDTB-,au programme,48,"326,00 EUR",288,0,0,0,9003149084598
5101427,"8611 MM 40,0X 11,0 CRYSTAL SILVGLAZE B",8611M40X11001SIGLAB-,au programme,336,"317,00 EUR",3696,0,0,0,9009651014276
