N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
265809,"8116 MM 10,0 CRYSTAL B",8116M10001B-,au programme,3000,"533,00 EUR",12000,0,0,0,9003142658093
265814,"8116 MM 12,0 CRYSTAL B",8116M12001B-,au programme,2600,"467,00 EUR",88400,0,0,0,9003142658147
265822,"8116 MM 14,0 CRYSTAL B",8116M14001B-,au programme,1800,"326,00 EUR",1213200,0,0,0,9003142658222
265830,"8116 MM 16,0 CRYSTAL B",8116M16001B-,au programme,1000,"323,00 EUR",187000,0,0,0,9003142658307
265837,"8116 MM 18,0 CRYSTAL B",8116M18001B-,au programme,600,"252,00 EUR",183000,0,0,0,9003142658376
265840,"8116 MM 20,0 CRYSTAL B",8116M20001B-,au programme,420,"229,00 EUR",78120,0,0,0,9003142658406
265844,"8116 MM 22,0 CRYSTAL B",8116M22001B-,au programme,350,"248,00 EUR",63000,0,0,0,9003142658444
265845,"8116 MM 24,0 CRYSTAL B",8116M24001B-,au programme,300,"276,00 EUR",34500,0,0,0,9003142658451
265938,"8116 MM 26,0 CRYSTAL B",8116M26001B-,au programme,240,"265,00 EUR",25200,0,0,0,9003142659380
265939,"8116 MM 28,0 CRYSTAL B",8116M28001B-,au programme,150,"199,00 EUR",10200,0,0,0,9003142659397
265940,"8116 MM 30,0 CRYSTAL B",8116M30001B-,au programme,125,"199,00 EUR",0,0,0,0,9003142659403
265773,"8116 MM 32,0 CRYSTAL B",8116M32001B-,au programme,125,"239,00 EUR",0,0,0,0,9003142657737
265942,"8116 MM 34,0 CRYSTAL B",8116M34001B-,au programme,100,"229,00 EUR",0,0,0,0,9003142659427
265943,"8116 MM 36,0 CRYSTAL B",8116M36001B-,au programme,80,"220,00 EUR",0,0,0,0,9003142659434
265945,"8116 MM 38,0 CRYSTAL B",8116M38001B-,au programme,80,"264,00 EUR",0,0,0,0,9003142659458
265946,"8116 MM 40,0 CRYSTAL B",8116M40001B-,au programme,56,"222,00 EUR",2184,0,0,0,9003142659465
265947,"8116 MM 50,0 CRYSTAL B",8116M50001B-,au programme,20,"95,10 EUR",1300,0,0,0,9003142659472
265941,"8116 MM 60,0 CRYSTAL B",8116M60001B-,au programme,20,"152,00 EUR",380,0,0,0,9003142659410
274039,"8116 MM 14,0 ANTIQUE GREEN B",8116M14509B-,au programme,1800,"391,00 EUR",7200,0,0,0,9003142740392
627121,"8116 MM 14,0 BLUE VIOLET B",8116M14349B-,au programme,1800,"391,00 EUR",16200,0,0,0,9003146271212
274040,"8116 MM 14,0 BORDEAUX B",8116M14514B-,au programme,1800,"391,00 EUR",64800,0,0,0,9003142740408
943308,"8116 MM 14,0 DARK SAPPHIRE B",8116M14255B-,au programme,1800,"391,00 EUR",0,0,0,0,9003149433082
696436,"8116 MM 14,0 EMERALD B",8116M14205B-,au programme,1800,"391,00 EUR",0,0,0,0,9003146964367
626064,"8116 MM 14,0 JET B",8116M14280B-,au programme,1800,"391,00 EUR",25200,0,0,0,9003146260643
662780,"8116 MM 14,0 LIGHT PERIDOT B",8116M14387B-,au programme,1800,"391,00 EUR",23400,0,0,0,9003146627804
274041,"8116 MM 14,0 LIGHT TOPAZ B",8116M14226B-,au programme,1800,"391,00 EUR",7200,0,0,0,9003142740415
274042,"8116 MM 14,0 MEDIUM SAPPHIRE B",8116M14210B-,au programme,1800,"391,00 EUR",21600,0,0,0,9003142740422
274043,"8116 MM 14,0 ROSALINE B",8116M14508B-,au programme,1800,"391,00 EUR",64800,0,0,0,9003142740439
5014575,"8116 MM 14,0 SILK B",8116M14391B-,au programme,1800,"391,00 EUR",30600,0,0,0,9009650145759
627127,"8116 MM 14,0 TOPAZ B",8116M14203B-,au programme,1800,"391,00 EUR",36000,0,0,0,9003146271274
695138,"8116 MM 14,0 VIOLET B",8116M14371B-,au programme,1800,"391,00 EUR",18000,0,0,0,9003146951381
294794,"8116 MM 14,0 CRYSTAL BL.AB B",8116M14001BLABB-,au programme,1800,"375,00 EUR",79200,0,0,0,9003142947944
1186981,"8116 MM 14,0 CRYSTAL BRONZSHADE B",8116M14001BRSHB-,au programme,1800,"375,00 EUR",12600,0,0,0,9007811869810
982125,"8116 MM 14,0 CRYSTAL GOL.SHADOW B",8116M14001GSHAB-,au programme,1800,"375,00 EUR",41400,0,0,0,9003149821254
288049,"8116 MM 14,0 CRYSTAL GOLD. TEAK B",8116M14001GOLDTB-,au programme,1800,"375,00 EUR",46800,0,0,0,9003142880494
5039042,"8116 MM 14,0 CRYSTAL LILAC B",8116M14001LILAB-,au programme,1800,"375,00 EUR",115200,0,0,0,9009650390425
5101420,"8116 MM 14,0 CRYSTAL SILVGLAZE B",8116M14001SIGLAB-,au programme,1800,"375,00 EUR",23400,0,0,0,9009651014207
1134427,"8116 MM 14,0 CRYSTAL SILVNIGHT B",8116M14001SINIB-,au programme,1800,"375,00 EUR",7200,0,0,0,9007811344270
982301,"8116 MM 14,0 CRYSTAL SILVSHADE B",8116M14001SSHAB-,au programme,1800,"375,00 EUR",7200,0,0,0,9003149823012
5284408,"8116 MM 14,0 ARCTIC WHITE B",8116M14298B-,au programme,1800,"391,00 EUR",32400,0,0,0,9009652844087
