N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5081769,"8048 MM 75,0 CRYSTAL B",8048M75001B-,au programme,12,"232,00 EUR",96,0,0,0,9009650817694
5081770,"8048 MM 90,0 CRYSTAL B",8048M90001B-,au programme,9,"226,00 EUR",0,0,0,0,9009650817700
5081772,"8048 MM110,0 CRYSTAL B",8048M110001B-,au programme,6,"241,00 EUR",138,0,0,0,9009650817724
5100417,"8048 MM 75,0 CRYSTAL GOL.SHADOW B",8048M75001GSHAB-,au programme,12,"267,00 EUR",204,0,0,0,9009651004178
5100418,"8048 MM 90,0 CRYSTAL GOL.SHADOW B",8048M90001GSHAB-,au programme,9,"260,00 EUR",99,0,0,0,9009651004185
5100419,"8048 MM110,0 CRYSTAL GOL.SHADOW B",8048M110001GSHAB-,au programme,6,"277,00 EUR",24,0,0,0,9009651004192
5101417,"8048 MM 75,0 CRYSTAL SILVGLAZE B",8048M75001SIGLAB-,au programme,12,"267,00 EUR",12,0,0,0,9009651014177
5101418,"8048 MM 90,0 CRYSTAL SILVGLAZE B",8048M90001SIGLAB-,au programme,9,"260,00 EUR",72,0,0,0,9009651014184
5101416,"8048 MM110,0 CRYSTAL SILVGLAZE B",8048M110001SIGLAB-,au programme,6,"277,00 EUR",60,0,0,0,9009651014160
