N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
5200735,"7152 MM 25,0 CRYSTAL 082",7152M25001082-,au programme,5,"103,00 EUR",70,0,0,0,9009652007352
5200737,"7152 MM 25,0 CRYSTAL 088",7152M25001088-,au programme,5,"103,00 EUR",45,0,0,0,9009652007376
5200733,"7152 MM 25,0 CRYSTAL 081",7152M25001081-,au programme,5,"118,00 EUR",30,0,0,0,9009652007338
5200739,"7152 MM 50,0 CRYSTAL 082",7152M50001082-,au programme,5,"162,00 EUR",60,0,0,0,9009652007390
5200740,"7152 MM 50,0 CRYSTAL 088",7152M50001088-,au programme,5,"162,00 EUR",20,0,0,0,9009652007406
5200738,"7152 MM 50,0 CRYSTAL 081",7152M50001081-,au programme,5,"186,00 EUR",25,0,0,0,9009652007383
