N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
265953,"8115 MM 12,0 CRYSTAL B",8115M12001B-,au programme,2600,"467,00 EUR",31200,0,0,0,9003142659533
265954,"8115 MM 14,0 CRYSTAL B",8115M14001B-,au programme,1800,"326,00 EUR",169200,0,0,0,9003142659540
265955,"8115 MM 16,0 CRYSTAL B",8115M16001B-,au programme,1000,"323,00 EUR",71000,0,0,0,9003142659557
265966,"8115 MM 18,0 CRYSTAL B",8115M18001B-,au programme,600,"252,00 EUR",13800,0,0,0,9003142659663
265970,"8115 MM 20,0 CRYSTAL B",8115M20001B-,au programme,420,"229,00 EUR",6300,0,0,0,9003142659700
265971,"8115 MM 22,0 CRYSTAL B",8115M22001B-,au programme,350,"248,00 EUR",22750,0,0,0,9003142659717
265973,"8115 MM 24,0 CRYSTAL B",8115M24001B-,au programme,300,"276,00 EUR",5100,0,0,0,9003142659731
265977,"8115 MM 26,0 CRYSTAL B",8115M26001B-,au programme,240,"265,00 EUR",3840,0,0,0,9003142659779
265981,"8115 MM 28,0 CRYSTAL B",8115M28001B-,au programme,150,"199,00 EUR",4050,0,0,0,9003142659816
265984,"8115 MM 30,0 CRYSTAL B",8115M30001B-,au programme,125,"199,00 EUR",17750,0,0,0,9003142659847
265986,"8115 MM 40,0 CRYSTAL B",8115M40001B-,au programme,56,"222,00 EUR",1344,0,0,0,9003142659861
265987,"8115 MM 50,0 CRYSTAL B",8115M50001B-,au programme,20,"95,10 EUR",460,0,0,0,9003142659878
265988,"8115 MM 60,0 CRYSTAL B",8115M60001B-,au programme,20,"152,00 EUR",0,0,0,0,9003142659885
274034,"8115 MM 14,0 ANTIQUE GREEN B",8115M14509B-,au programme,1800,"391,00 EUR",28800,0,0,0,9003142740347
627120,"8115 MM 14,0 BLUE VIOLET B",8115M14349B-,au programme,1800,"391,00 EUR",10800,0,0,0,9003146271205
274035,"8115 MM 14,0 BORDEAUX B",8115M14514B-,au programme,1800,"391,00 EUR",21600,0,0,0,9003142740354
943307,"8115 MM 14,0 DARK SAPPHIRE B",8115M14255B-,au programme,1800,"391,00 EUR",18000,0,0,0,9003149433075
696435,"8115 MM 14,0 EMERALD B",8115M14205B-,au programme,1800,"391,00 EUR",19800,0,0,0,9003146964350
632236,"8115 MM 14,0 JET B",8115M14280B-,au programme,1800,"391,00 EUR",25200,0,0,0,9003146322365
662779,"8115 MM 14,0 LIGHT PERIDOT B",8115M14387B-,au programme,1800,"391,00 EUR",32400,0,0,0,9003146627798
274036,"8115 MM 14,0 LIGHT TOPAZ B",8115M14226B-,au programme,1800,"391,00 EUR",1800,0,0,0,9003142740361
274037,"8115 MM 14,0 MEDIUM SAPPHIRE B",8115M14210B-,au programme,1800,"391,00 EUR",23400,0,0,0,9003142740378
274038,"8115 MM 14,0 ROSALINE B",8115M14508B-,au programme,1800,"391,00 EUR",23400,0,0,0,9003142740385
5039147,"8115 MM 14,0 SILK B",8115M14391B-,au programme,1800,"391,00 EUR",12600,0,0,0,9009650391477
627126,"8115 MM 14,0 TOPAZ B",8115M14203B-,au programme,1800,"391,00 EUR",25200,0,0,0,9003146271267
695137,"8115 MM 14,0 VIOLET B",8115M14371B-,au programme,1800,"391,00 EUR",37800,0,0,0,9003146951374
274045,"8115 MM 14,0 CRYSTAL BL.AB B",8115M14001BLABB-,au programme,1800,"375,00 EUR",324000,0,0,0,9003142740453
1186980,"8115 MM 14,0 CRYSTAL BRONZSHADE B",8115M14001BRSHB-,au programme,1800,"375,00 EUR",9000,0,0,0,9007811869803
983974,"8115 MM 14,0 CRYSTAL GOL.SHADOW B",8115M14001GSHAB-,au programme,1800,"375,00 EUR",14400,0,0,0,9003149839747
288048,"8115 MM 14,0 CRYSTAL GOLD. TEAK B",8115M14001GOLDTB-,au programme,1800,"375,00 EUR",10800,0,0,0,9003142880487
5039047,"8115 MM 14,0 CRYSTAL LILAC B",8115M14001LILAB-,au programme,1800,"375,00 EUR",64800,0,0,0,9009650390470
5101419,"8115 MM 14,0 CRYSTAL SILVGLAZE B",8115M14001SIGLAB-,au programme,1800,"375,00 EUR",16200,0,0,0,9009651014191
1135034,"8115 MM 14,0 CRYSTAL SILVNIGHT B",8115M14001SINIB-,au programme,1800,"375,00 EUR",3600,0,0,0,9007811350349
983973,"8115 MM 14,0 CRYSTAL SILVSHADE B",8115M14001SSHAB-,au programme,1800,"375,00 EUR",0,0,0,0,9003149839730
5284407,"8115 MM 14,0 ARCTIC WHITE B",8115M14298B-,au programme,1800,"391,00 EUR",14400,0,0,0,9009652844070
