N° de système,Description,Code article,-0,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
1067326,"7120 MM 20,0 JET",7120M20280-,au programme,300,"1.220,00 ",2100,0,0,0,9007810673265
1067321,"7120 MM 14,0 CRYSTAL CAL'SI'",7120M14001CAL-,au programme,560,"1.300,00 ",1120,0,0,0,9007810673210
1067324,"7120 MM 20,0 CRYSTAL CAL'SI'",7120M20001CAL-,au programme,300,"1.170,00 ",300,0,0,0,9007810673241
1067330,"7120 MM 30,0 CRYSTAL CAL'SI'",7120M30001CAL-,au programme,120,938,360,0,0,0,9007810673302
1067322,"7120 MM 14,0 CRYSTAL CAL'V'SI",7120M14001CAVSI-,au programme,560,"1.300,00 ",2240,0,0,0,9007810673227
1067325,"7120 MM 20,0 CRYSTAL CAL'V'SI",7120M20001CAVSI-,au programme,300,"1.170,00 ",0,0,0,0,9007810673258
1067331,"7120 MM 30,0 CRYSTAL CAL'V'SI",7120M30001CAVSI-,au programme,120,938,840,0,0,0,9007810673319
1067338,"7120 MM 40,0 CRYSTAL CAL'V'SI",7120M40001CAVSI-,au programme,60,506,0,0,0,0,9007810673388
1067354,"7120 MM 50,0 CRYSTAL CAL'V'SI",7120M50001CAVSI-,au programme,24,227,1152,0,0,0,9007810673548
