N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
249101,"8558 MM 20,0 CRYSTAL B",8558M20001B-,au programme,144,"323,00 EUR",17712,0,0,0,9003142491010
249102,"8558 MM 30,0 CRYSTAL B",8558M30001B-,au programme,48,"190,00 EUR",18816,0,0,0,9003142491027
249103,"8558 MM 40,0 CRYSTAL B",8558M40001B-,au programme,40,"281,00 EUR",19200,0,0,0,9003142491034
249104,"8558 MM 50,0 CRYSTAL B",8558M50001B-,au programme,12,"165,00 EUR",2112,0,0,0,9003142491041
250850,"8558 MM 60,0 CRYSTAL B",8558M60001B-,au programme,5,"117,00 EUR",185,0,0,0,9003142508503
250851,"8558 MM 70,0 CRYSTAL B",8558M70001B-,au programme,1,"39,80 EUR",389,0,0,0,9003142508510
250852,"8558 MM100,0 CRYSTAL B",8558M100001B-,au programme,1,"275,00 EUR",96,0,0,0,9003142508527
262022,"8558 MM 20,0 ANTIQUE GREEN B",8558M20509B-,au programme,144,"389,00 EUR",288,0,0,0,9003142620229
262030,"8558 MM 30,0 ANTIQUE GREEN B",8558M30509B-,au programme,48,"229,00 EUR",480,0,0,0,9003142620304
262040,"8558 MM 40,0 ANTIQUE GREEN B",8558M40509B-,au programme,40,"337,00 EUR",1080,0,0,0,9003142620403
627122,"8558 MM 20,0 BLUE VIOLET B",8558M20349B-,au programme,144,"389,00 EUR",576,0,0,0,9003146271229
626459,"8558 MM 30,0 BLUE VIOLET B",8558M30349B-,au programme,48,"229,00 EUR",624,0,0,0,9003146264597
626105,"8558 MM 40,0 BLUE VIOLET B",8558M40349B-,au programme,40,"337,00 EUR",320,0,0,0,9003146261053
262026,"8558 MM 20,0 BORDEAUX B",8558M20514B-,au programme,144,"389,00 EUR",1008,0,0,0,9003142620267
262031,"8558 MM 30,0 BORDEAUX B",8558M30514B-,au programme,48,"229,00 EUR",384,0,0,0,9003142620311
662792,"8558 MM 40,0 BORDEAUX B",8558M40514B-,au programme,40,"337,00 EUR",400,0,0,0,9003146627927
943311,"8558 MM 20,0 DARK SAPPHIRE B",8558M20255B-,au programme,144,"389,00 EUR",576,0,0,0,9003149433112
943312,"8558 MM 30,0 DARK SAPPHIRE B",8558M30255B-,au programme,48,"229,00 EUR",1968,0,0,0,9003149433129
1002764,"8558 MM 40,0 DARK SAPPHIRE B",8558M40255B-,au programme,40,"337,00 EUR",1240,0,0,0,9007810027648
696437,"8558 MM 20,0 EMERALD B",8558M20205B-,au programme,144,"389,00 EUR",864,0,0,0,9003146964374
696438,"8558 MM 30,0 EMERALD B",8558M30205B-,au programme,48,"229,00 EUR",16176,0,0,0,9003146964381
696439,"8558 MM 40,0 EMERALD B",8558M40205B-,au programme,40,"337,00 EUR",4360,0,0,0,9003146964398
650273,"8558 MM 20,0 JET B",8558M20280B-,au programme,144,"389,00 EUR",864,0,0,0,9003146502736
650274,"8558 MM 30,0 JET B",8558M30280B-,au programme,48,"229,00 EUR",624,0,0,0,9003146502743
650275,"8558 MM 40,0 JET B",8558M40280B-,au programme,40,"337,00 EUR",5720,0,0,0,9003146502750
662782,"8558 MM 20,0 LIGHT PERIDOT B",8558M20387B-,au programme,144,"389,00 EUR",0,0,0,0,9003146627828
662784,"8558 MM 30,0 LIGHT PERIDOT B",8558M30387B-,au programme,48,"229,00 EUR",576,0,0,0,9003146627842
662785,"8558 MM 40,0 LIGHT PERIDOT B",8558M40387B-,au programme,40,"337,00 EUR",11400,0,0,0,9003146627859
262025,"8558 MM 20,0 LIGHT TOPAZ B",8558M20226B-,au programme,144,"389,00 EUR",432,0,0,0,9003142620250
262032,"8558 MM 30,0 LIGHT TOPAZ B",8558M30226B-,au programme,48,"229,00 EUR",2448,0,0,0,9003142620328
262041,"8558 MM 40,0 LIGHT TOPAZ B",8558M40226B-,au programme,40,"337,00 EUR",560,0,0,0,9003142620410
262023,"8558 MM 20,0 MEDIUM SAPPHIRE B",8558M20210B-,au programme,144,"389,00 EUR",432,0,0,0,9003142620236
