N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
159236,"8901 MM 38,0X 27,0 CRYSTAL B",8901M38X27001B-,au programme,256,"424,00 EUR",7680,0,0,0,9003141592367
159025,"8901 MM 50,0X 35,0 CRYSTAL B",8901M50X35001B-,au programme,120,"339,00 EUR",2640,0,0,0,9003141590257
159014,"8901 MM 63,0X 43,0 CRYSTAL B",8901M63X43001B-,au programme,50,"209,00 EUR",12850,0,0,0,9003141590141
159237,"8901 MM 76,0X 52,0 CRYSTAL B",8901M76X52001B-,au programme,40,"283,00 EUR",2160,0,0,0,9003141592374
159238,"8901 MM 89,0X 62,0 CRYSTAL B",8901M89X62001B-,au programme,21,"251,00 EUR",2604,0,0,0,9003141592381
159239,"8901 MM100,0X 70,0 CRYSTAL B",8901M100X70001B-,au programme,12,"212,00 EUR",984,0,0,0,9003141592398
159240,"8901 MM114,0X 79,0 CRYSTAL B",8901M114X79001B-,au programme,12,"276,00 EUR",312,0,0,0,9003141592404
287413,"8901 MM140,0X 97,0 CRYSTAL B",8901M140X97001B-,au programme,4,"105,00 EUR",16,0,0,0,9003142874134
250345,"8901 MM 63,0X 43,0 JET B",8901M63X43280B-,au programme,50,"252,00 EUR",300,0,0,0,9003142503454
600860,"8901 MM 76,0X 52,0 JET B",8901M76X52280B-,au programme,40,"340,00 EUR",2080,0,0,0,9003146008603
982164,"8901 MM 50,0X 35,0 CRYSTAL GOL.SHADOW B",8901M50X35001GSHAB-,au programme,120,"390,00 EUR",600,0,0,0,9003149821643
982165,"8901 MM 63,0X 43,0 CRYSTAL GOL.SHADOW B",8901M63X43001GSHAB-,au programme,50,"241,00 EUR",1050,0,0,0,9003149821650
982166,"8901 MM 76,0X 52,0 CRYSTAL GOL.SHADOW B",8901M76X52001GSHAB-,au programme,40,"325,00 EUR",320,0,0,0,9003149821667
982167,"8901 MM 89,0X 62,0 CRYSTAL GOL.SHADOW B",8901M89X62001GSHAB-,au programme,21,"288,00 EUR",210,0,0,0,9003149821674
294632,"8901 MM 50,0X 35,0 CRYSTAL GOLD. TEAK B",8901M50X35001GOLDTB-,au programme,120,"390,00 EUR",360,0,0,0,9003142946329
826547,"8901 MM 63,0X 43,0 CRYSTAL GOLD. TEAK B",8901M63X43001GOLDTB-,au programme,50,"241,00 EUR",1300,0,0,0,9003148265479
294633,"8901 MM 76,0X 52,0 CRYSTAL GOLD. TEAK B",8901M76X52001GOLDTB-,au programme,40,"325,00 EUR",760,0,0,0,9003142946336
839454,"8901 MM 89,0X 62,0 CRYSTAL GOLD. TEAK B",8901M89X62001GOLDTB-,au programme,21,"288,00 EUR",336,0,0,0,9003148394544
878095,"8901 MM100,0X 70,0 CRYSTAL GOLD. TEAK B",8901M100X70001GOLDTB-,au programme,12,"244,00 EUR",204,0,0,0,9003148780958
