N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
652323,"8721 MM 28,0X 17,0 TOPAZ B",8721M28X17203B-,au programme,400,"663,00 EUR",3200,0,0,0,9003146523236
627132,"8721 MM 38,0X 22,0 TOPAZ B",8721M38X22203B-,au programme,192,"427,00 EUR",768,0,0,0,9003146271328
626242,"8721 MM 50,0X 29,0 TOPAZ B",8721M50X29203B-,au programme,72,"248,00 EUR",1296,0,0,0,9003146262425
693312,"8721 MM 63,0X 37,0 TOPAZ B",8721M63X37203B-,au programme,45,"314,00 EUR",180,0,0,0,9003146933127
844290,"8721 MM 28,0X 17,0 VIOLET B",8721M28X17371B-,au programme,400,"663,00 EUR",800,0,0,0,9003148442900
844291,"8721 MM 38,0X 22,0 VIOLET B",8721M38X22371B-,au programme,192,"427,00 EUR",768,0,0,0,9003148442917
941300,"8721 MM 50,0X 29,0 VIOLET B",8721M50X29371B-,au programme,72,"248,00 EUR",1800,0,0,0,9003149413008
170597,"8721 MM 28,0X 17,0 CRYSTAL BL.AB B",8721M28X17001BLABB-,au programme,400,"638,00 EUR",400,0,0,0,9003141705972
170598,"8721 MM 38,0X 22,0 CRYSTAL BL.AB B",8721M38X22001BLABB-,au programme,192,"409,00 EUR",5376,0,0,0,9003141705989
170599,"8721 MM 50,0X 29,0 CRYSTAL BL.AB B",8721M50X29001BLABB-,au programme,72,"236,00 EUR",648,0,0,0,9003141705996
172502,"8721 MM 63,0X 37,0 CRYSTAL BL.AB B",8721M63X37001BLABB-,au programme,45,"300,00 EUR",450,0,0,0,9003141725024
194368,"8721 MM 76,0X 44,0 CRYSTAL BL.AB B",8721M76X44001BLABB-,au programme,30,"313,00 EUR",300,0,0,0,9003141943688
632540,"8721 MM 89,0X 52,0 CRYSTAL BL.AB B",8721M89X52001BLABB-,au programme,21,"266,00 EUR",357,0,0,0,9003146325403
1186986,"8721 MM 38,0X 22,0 CRYSTAL BRONZSHADE B",8721M38X22001BRSHB-,au programme,192,"409,00 EUR",12096,0,0,0,9007811869865
