"id";"REF";"TAILLE (xnbr)";"";"qtt ";"Prix impact ";"impact poids";"ean";"nom "
"126";"1120194";"Taille:select:1";"20x20(x192)";"10";"360";"0.877";"9007811201948";""
"126";"1120197";"Taille:select:1";"40x40(x12)";"10";"0";"0";"9007811201979";""
"126";"1120199";"Taille:select:1";"60x60(x5)";"10";"9.2";"0.353";"9007811201993";""
