"id";"REF";"TAILLE (xnbr)";"";"qtt ";"Prix impact ";"impact poids";"ean";"nom "
"128";"1104499";"Taille:select:1";"38x25(x60)";"10";"246";"0.116";"9007811044996";""
"128";"1104500";"Taille:select:1";"50x33(x36)";"10";"206";"0.511";"9007811045009";""
"128";"1104501";"Taille:select:1";"63x41(x12)";"10";"0";"0";"9007811045016";""
"128";"1104502";"Taille:select:1";"76x50(x8)";"10";"1";"0.175";"9007811045023";""
