"id";"REF";"TAILLE (xnbr)";"";"qtt ";"Prix impact ";"impact poids";"ean";"nom "
"138";"1084841";"Taille:select:1";"76x205(x60)";"10";"0";"0";"9007810755749";""
"138";"1075574";"Taille:select:1";"100x25(x36)";"10";"231";"0.42";"9007810848410";""
