"id";"REF";"TAILLE (xnbr)";"";"qtt ";"Prix impact ";"impact poids";"ean";"nom "
"136";"627359";"Taille:select:1";"63x16(x90)";"10";"0";"0";"9003146784118";""
"136";"5284385";"Taille:select:1";"100x25(x36)";"10";"252";"1.208";"9003146784095";""
