"id";"REF";"TAILLE (xnbr)";"";"qtt ";"Prix impact ";"impact poids";"ean";"nom "
"133";"627359";"Taille:select:1";"76x18(x48)";"10";"0";"0";"9003146273582";""
"133";"5284385";"Taille:select:1";"76x18(x48)";"10";"47";"-0.222";"9003146273599";""
"133";"627358";"Taille:select:1";"100x24(x36)";"10";"151";"0.85";"9009652843851";""
