"id";"REF";"TAILLE (xnbr)";"";"qtt ";"Prix impact ";"impact poids";"ean";"nom "
"";"";"";"";"";"";"";"";""
"120";"1120143";"Taille:select:1";"38x18(x60):1";"10";"0";"0";"9007811201436";"8950N5138001B-"
"120";"1120146";"Taille:select:1";"50x24(x36):1";"10";"26";"0.872";"9007811201467";"8950N5150001B-"
