"Ean";"ref";"nom";"descrip";"Pack Size";"Gross weight";"";"price per pricing unit";""
"9003141168135";"116813";"A 8999 NR 102 262 TRADITIONEL PIN 26 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"8000";"1.006";"";"31.58";""
"9003141169682";"116968";"A 8999 NR 102 261 TRADITIONEL PIN 26 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"8000";"1.006";"";"27.2";""
"9003141832197";"183219";"A 8999 NR 118 382 BEAD PIN 38 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"7000";"1.005";"";"27.71";""
"9003141918228";"191822";"A 8999 NR 121 112 FINAL CLIP";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"5000";"1.003";"";"204.6";""
"9003142362624";"236262";"A 8999 NR 112 132 BIRNCHEN-CLIP VERNICKELT";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"5000";"0.93";"";"91.3";""
"9003141848440";"184844";"A 8999 NR 118 222 BEAD PIN 22 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"10000";"0.93";"";"24.68";""
"9003141832203";"183220";"A 8999 NR 118 383 BEAD PIN 38 MM GOLD";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"7000";"1.005";"";"34.47";""
"9003141591421";"159142";"A 8999 NR 110 102 C-SHAPE PIN 10 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"8300";"1.008";"";"26.15";""
"9003141170480";"117048";"A 8999 NR 109 172 PLAIN CLIP 17 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"4830";"1.009";"";"22.57";""
"9003141574769";"157476";"A 8999 NR 109 143 PLAIN CLIP 14 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"7600";"1.01";"";"87.54";""
"9003141574752";"157475";"A 8999 NR 109 083 PLAIN CLIP 8 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"11400";"1.003";"";"92.41";""
"9003141574707";"157470";"A 8999 NR 104 133 CONNECTOR 13 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"3700";"1.006";"";"105.79";""
"9003141574691";"157469";"A 8999 NR 104 103 CONNECTOR 10,5 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"4500";"1";"";"104.9";""
"9003141544274";"154427";"A 8999 NR 104 082 CONNECTOR 8 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"6700";"1.005";"";"26.87";""
"9003141524573";"152457";"A 8999 NR 111 091 RING 9 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"8000";"1.008";"";"19.99";""
"9003141170466";"117046";"A 8999 NR 109 082 PLAIN CLIP 8 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"11400";"1.003";"";"50.03";""
"9003141170039";"117003";"A 8999 NR 109 142 PLAIN CLIP 14 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"7600";"1.001";"";"32.64";""
"9003141169613";"116961";"A 8999 NR 109 141 PLAIN CLIP 14 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"7600";"1.001";"";"20.59";""
"9003141167435";"116743";"A 8999 NR 104 131 CONNECTOR 13 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"3700";"1.006";"";"21.1";""
"9003141169590";"116959";"A 8999 NR 104 102 CONNECTOR 10,5 MM";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"4500";"1.008";"";"23.11";""
"9003141606200";"160620";"A 8999 NR 105 132 ASYMMETRIC CONNECTOR";"LE-LB REMAINING INTERIOR PROCESSING ARTI";"3400";"1.006";"";"18.03";""
"9003142093771";"209377";"A 8999 NR 122 003";"LE-LB SWAROVSKI STANDARD DOWNLIGHTS AND";"30";"0.66";"";"834";""
