"id";"REF";"TAILLE (xnbr)";"";"qtt ";"Prix impact ";"impact poids";"ean";"nom "
"144";"1165298";"Taille:select:1";"50x19(x80)";"10";"135.9";"0.297";"9007811652986";""
"144";"1165300";"Taille:select:1";"63x24(x45)";"10";"96.9";"0.552";"9007811653006";""
"144";"1165302";"Taille:select:1";"76x29(x18)";"10";"0";"0";"9007811653020";""
"145";"1120173";"Taille:select:1";"50x25(x90)";"10";"0";"0";"9007811201733";""
"145";"1120175";"Taille:select:1";"63x33(x60)";"10";"60";"0.587";"9007811201757";""
"145";"1120177";"Taille:select:1";"63x33(x60)";"10";"127";"0.186";"9007811201771";""
"145";"1120178";"Taille:select:1";"76x40(x30)";"10";"8";"0.436";"9007811201788";""
"145";"5284396";"Taille:select:1";"89x47(x24)";"10";"22";"0.976";"9009652843967";""
